x1	x2	x3	y
30	30	1500	922,78
40	40	1500	70,463
50	50	1500	-1090
60	60	1500	-2313
70	70	1500	-3562
30	30	2000	2911,4
40	40	2000	1860,3
50	50	2000	592,82
60	60	2000	-864,53
70	70	2000	-2445
30	30	2500	5222
40	40	2500	4178,5
50	50	2500	2877,3
60	60	2500	1338,7
70	70	2500	-379
30	30	3000	7884
40	40	3000	6899
50	50	3000	5636,6
60	60	3000	4080,6
70	70	3000	2288
